Название,Жанр,Режиссер,Страна,Год
Маленький солдат,драма,Жан-Люк Годар,Франция,1960
"Маленький старый Нью-Йорк (фильм, 1923)","немое кино, и, драма",Сидней Олкотт,США,1923
Маленький сержант,"детский фильм, драма",Лев Голуб,"СССР, Чехословакия",1975
Маленький секрет Гиллери,Мелодрама,T.M. Scorzafava,США,2006
Маленький роман,"мелодрама, ,, романтическая комедия, ,, приключения",Джордж Рой Хилл,"Франция, США",1979
"Маленький принц (фильм, 1974)",сказка,Стэнли Донен,"Великобритания, США, Австралия",1974
"Маленький принц (фильм, 1966)",сказка,Арунас Жебрюнас,СССР,1966
Маленький пакет любви,драма,Гастон Солники,"Аргентина, ,, Австрия",2022
Маленький Никита,"Неонуар, Триллер",Ричард Бенджамин,США,1988
Маленький остров (фильм),драма,Джон Александр,Великобритания,
Маленький Манхэттен,"романтическая комедия, мелодрама, детское кино","Марк Левин, Дженнифер Флэкетт",США,2005
Маленький мир дона Камилло,комедия,Жюльен Дювивье,"Италия, Франция",1952
"Маленький лорд Фаунтлерой (фильм, 1921)",драма,"Альфред Грин, Джек Пикфорд",США,1921
Маленький лекарь,"драма, фантастика",Зульфикар Мусаков,Узбекистан,1998
Маленький купальщик,комедия,Робер Дери,"Франция, Италия","22 марта, 1968, [, 1, ]"
Маленький круг друзей,драма,Роб Коэн,США,1980
Маленький крестоносец,историческая драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Вацлав Кадрнка, [вд]","Чехия, [, 1, ], Словакия, [, 1, ], Италия, [, 1, ]",2017
Маленький индеец,вестерн,Бернард Мак-Ивити,США,1973
Маленький крёстный отец из Гонконга,"боевик, ,, драма",Ын Сиюнь,Гонконг,1974
Маленький дивиденд отца,комедия,Винсент Миннелли,США,1951
Маленький дом,драма,Ёдзи Ямада,Япония,2014
Маленький гигант большого секса,комедия,Николай Досталь,Россия,1992
Маленький герой (фильм),комедия,Мак Сеннет,США,1913
Маленький Будда,драма,Бернардо Бертолуччи,"Италия, Франция, Лихтенштейн, Великобритания",1993
Маленький большой человек (фильм),"комедия, вестерн, история",Артур Пенн,США,1970
Маленький воин (фильм),"спортивная, драма",Илья Ермолов,Россия,2021
Маленький беглец,"социальная драма, роуд-муви","Эдуард Бочаров, ,, Тэйносукэ Кинугаса","СССР, Япония",1966
Маленький апокалипсис,комедия,Коста-Гаврас,"Франция, Италия, Польша",1993
"Маленькие чудовища (фильм, 2019)",зомби-комедия,Эйб Форсайт,"Австралия, США, Великобритания",2019
Маленькие чудовища,"приключенческая, семейная, комедия",Ричард Алан Гринберг,США,"31 декабря, 1989"
"Маленькие человечки Большевистского переулка, или Хочу пива","комедия, драма",Андрей Малюков,Россия,1993
"Маленькие трагедии (фильм, 2009)",фэнтезийный фильм,Ирина Евтеева,Россия,2009
"Маленькие трагедии (фильм, 1979)",драма,Михаил Швейцер,"СССР, РСФСР",
Маленькие секреты (фильм),"комедия, ,, драма",Гийом Кане,Франция,2010
"Маленькие трагедии (фильм, 1971)",трагедия,"Антонин Даусон,, Леонид Пчёлкин",СССР,
Маленькие прелестницы,мелодрама,Рон Максвелл,США,1980
Маленькие рыцари,детский фильм,"Нинель Ненова, ,, Гено Цулая",СССР,1963
"Маленькие похитители (фильм, 1990)","криминальный фильм, драма",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Дональд Шебиб, [вд]",Канада,1990
Маленькие пальчики,"мелодрама, комедия, драма",Мэттью Брайт,"США, Франция",2003
Маленькие негодяи спасают положение,"комедийный фильм, и, детский фильм","Алекс Замм, [англ.]",США,2014
Маленькие негодяи (фильм),"комедия, мелодрама, семейный фильм",Пенелопа Сфирис,США,1994
Маленькие личики,драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Гиллис МакКиннон, [вд], [, 2, ]",Великобритания,"1996, и, 1 августа, 1996, [, 1, ]"
"Маленькие женщины (фильм, 2019)",драма,Грета Гервиг,США,"30 января, 2020, [, 4, ], [, 5, ], ,, 30 января, 2020, ,, 26 декабря, 2019, [, 6, ], ,, 14 февраля, 2020, ,, 26 марта, 2020, и, 25 декабря, 2019, [, 6, ]"
"Маленькие женщины (фильм, 1994)","драма, семейный фильм",Джиллиан Армстронг,США,1994
"Маленькие женщины (фильм, 1949)","мелодрама, драма",Мервин Лерой,США,1949
"Маленькие женщины (фильм, 1933)",мелодрама,Джордж Кьюкор,США,"16 ноября, 1933"
Маленькие драмы,"детский, ,, драма, ,, семейный",Януш Насфетер,Польша,1958
Маленькие губки,"драма, ,, триллер",Миммо Каттариник,"Италия, Испания",1978
Маленькие великаны,комедия,Дуэйн Данэм,США,1994
"Маленькие беглецы (фильм, Куба)","комедия, ,, драма","Хуан Карлос Кремата Мальберти, Ираида Мальберти Кабрера",Куба,2005
Маленькая чёрная книжка,"комедия, /, мелодрама, /, драма",Ник Харран,США,2004
"Маленькая рыбка (фильм, 2005)",драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Роуэн Вудс, [вд], [, 1, ], [, 2, ]",Австралия,2005
Маленькая рыбка,"романтический фильм, и, научно-фантастический фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Чад Хэртиган, [вд]",США,2021
"Маленькая принцесса (фильм, 1997)",драма,Владимир Грамматиков,Россия,1997
"Маленькая принцесса (фильм, 1995)","детский, ,, драма, Музыка к фильму",Альфонсо Куарон,США,1995
"Маленькая принцесса (фильм, 1917)",драма,"Маршалл Нилан, [англ.]",США,1917
Маленькая Одесса (фильм),драма,Джеймс Грэй,США,1994
Маленькая мисс Счастье,"комедия-драма, роуд-муви","Валери Фарис, Джонатан Дэйтон",США,2006
Маленькая мисс Маркер,"драма, ,, мелодрама, ,, комедия",Уолтер Бернстайн,США,1980
Маленькая мама,комедия,Герман Костерлиц,"Австрия, Королевство Венгрия",1935
"Маленькая мама (фильм, 2021)",Драма,Селин Сьямма,Франция,2021
Маленькая леди,семейный,Гернот Ролль,Австрия,2012
"Маленькая Италия (фильм, 2018)","комедийный фильм, и, романтическая комедия",Дональд Петри,"США, Канада",2018
Маленькая исповедь,драма,Альгирдас Араминас,СССР,1971
Маленькая зона турбулентности,драма,Альфред Лот,Франция,2009
Маленькая Вера,"семейная драма, [, 1, ]","Василий Пичул, [, 4, ], [, 5, ]","СССР, [, 7, ], [, 5, ]","октябрь, 1988, [, 2, ], и, 1 марта, 1990, [, 3, ]"
"Маленькая ведьма (фильм, 2018)",фильм-сказка,Михаэль Шёрер,"Германия, Швейцария",2018
Малена (фильм),"драма, мелодрама, эротика, [, 1, ]",Джузеппе Торнаторе,"Италия, Германия",2000
Маленькая Англия,драма,Пантелис Вульгарис,Греция,2013
Маленькая Анни Руни,"драма, ,, комедия",Уильям Бодайн,США,1925
Малевич. Возвращение в Ничто,документальный,Борис Дворкин,Россия,2003
Малберри-стрит (фильм),"драма, /, фильм ужасов",Джим Микл,США,2007
Малая Москва,"драма, /, исторический фильм, /, мелодрама",Вальдемар Кшистек,Польша,2008
Малахов курган (фильм),драма,"Александр Зархи, Иосиф Хейфиц",СССР,1944
"Маларек: Парень, которому повезло","социальная драма, боевик",Роджер Кардинал,Канада,1988
Малавита (фильм),чёрная комедия,Люк Бессон,"США, Франция",2013
Малайя (фильм),"Приключенческий триллер, Военный фильм, Фильм нуар",Ричард Торп,США,1949
Максин XXX,фильм ужасов,Тай Уэст,США,2024
"Мактуб (фильм, 2017)","криминальный фильм, ,, комедийный фильм, и, криминальная комедия",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Oded Raz, [вд]",Израиль,2017
Максимка (фильм),приключения,Владимир Браун,СССР,1952
Максимилиан (фильм),комедия,Роман Качанов,Россия,1999
Максимальный удар,боевик,Анджей Бартковяк,"Россия, США",2017
Максимальный срок,боевик,Киони Ваксман,США,2012
Максимальный риск,"криминальный фильм, боевик, триллер",Ринго Лам,США,1996
Максим Перепелица (фильм),комедия,Анатолий Граник,СССР,1955
Максимальное ускорение,"триллер, чёрная комедия, фантастика, фильм ужасов",Стивен Кинг,США,1986
Макс-разрушитель: Проклятие нефритового дракона,"боевик, приключения, боевые искусства","Альберт Пьюн, Айзек Флорентайн",США,2004
"Макс, моя любовь",комедия,Нагиса Осима,"Франция, США",1986
Макс Шмелинг: Боец Рейха,"биографический фильм,, драма",Уве Болл,,2010
Макс Хавелар (фильм),драма,Фонс Радемакерс,Нидерланды,1976
Макс Хэдрум: на 20 минут в будущее,киберпанк,"Рокки Мортон, Аннабель Жанкель",Великобритания,
Макс Пэйн (фильм),"экшн, ,, триллер, ,, нуар","Джон Мур, [англ.]",США,2008
Макс пропал без вести,приключенческий фильм,Марк Гриффитс,США,1995
Макс Манус (фильм),"драма, ,, военный, ,, исторический","Йоахим Рённинг, Эспен Сандберг","Норвегия, Дания, Германия",2008
Макс и хинин,комедия,Макс Линдер,Франция,1911
Макс и жестянщики,криминальная драма,Клод Соте,"Франция, Италия",1971
Макс и Джереми,"криминальная драма, триллер",Клер Девер,"Франция, Италия",1992
Макс (фильм),драма,Менно Мейес,"Венгрия, Канада, Великобритания",2002
Макс — тореадор,комедия,Макс Линдер,Франция,1913
Макс — преподаватель танго,комедия,Макс Линдер,Франция,1912
Макс — законодатель мод,комедия,"Макс Линдер, Рене Лепринс",Франция,1912
Макс — виртуоз,комедия,Макс Линдер,Франция,1913
Маклинток!,"вестерн, романтическая комедия",Эндрю Маклаглен,США,1963
Маккью (фильм),детектив,Джон Стёрджес,США,1974
Маккейб и миссис Миллер,вестерн,Роберт Олтмен,США,1971
"Макбет (фильм, 2015)","эпическая, историческая драма",Джастин Курзель,"Великобритания, Франция, США",2015
Макбэйн (фильм),боевик,Джеймс Гликенхаус,США,1991
"Макбет (фильм, 1979)",трагедия,Филип Кассон,Великобритания,
"Макбет (фильм, 1971)",драма,Роман Полански,"Великобритания, США",1971
"Макбет (фильм, 1948)",трагедия,Орсон Уэллс,США,1948
"Макбет (фильм, 1916)","драма, и, немое кино",Джон Эмерсон,США,1916
"Макбет (фильм, 1908)",драматический фильм,Уильям Рэноус,США,1908
Макаров (фильм),Криминальная мелодрама,Владимир Хотиненко,Россия,1993
Макароны (фильм),комедия,Этторе Скола,Италия,1985
Макар-следопыт,"Приключенческий фильм, истерн",Николай Ковальский,СССР,1984
Макао (фильм),"нуар, приключения, триллер",Джозеф фон Штернберг,США,1952
Макала (фильм),документальный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Emmanuel Gras, [вд]",Франция,2017
Макабро,фильм ужасов,Ламберто Бава,Италия,1980
Мак и Девин идут в среднюю школу,Комедия,Джефф Хард,США,"3 июля, 2012 года"
Мак и я,фантастика,Стюарт Рэффилл,США,1988
"Мак (фильм, 1992)",драма,Джон Туртурро,США,1992
Майя побеждает,драма,Ролла Селбек,США,2003
Майя из Цхнети,приключенческий фильм,Резо Чхеидзе,СССР,1959
Майя и Пайя (фильм),"сказка, экранизация",Гунар Пиесис,СССР,1990
Майское поле (фильм),"драма, и, биографический фильм",Джоваккино Форцано,Италия,1935
Майское вино,мелодрама,Кэрол Вайзман,США,1990
Майские звёзды,Киноповесть,Станислав Ростоцкий,"СССР, ,, Чехословакия",1959
"Майские дни (фильм, 1923)",мелодрама,Луи Ганье,США,1923
Майская сказка,"исторический фильм, ,, романтический фильм, [, 2, ], и, драма, [, 2, ]","Отакар Вавра, [, 3, ]","Чехословакия, протекторат Богемии и Моравии, [, 2, ]","25 октября, 1940, [, 1, ]"
"Майская ночь, или Утопленница (фильм)","киносказка, мистика",Александр Роу,СССР,1952
"Майская ночь (фильм, 1940)","мистика, экранизация",Николай Садкович,СССР,1940
Майрик,драма,Анри Вернёй,Франция,1991
Майор Хубаль,"исторический, ,, военный, ,, биографический, ,, психологическая драма",Богдан Поремба,Польша,1973
Майор Пэйн,"комедия, семейный",Ник Кастл,США,1995
Майор и малютка,"комедия, мелодрама",Билли Уайлдер,США,1942
Майор Данди,"вестерн, приключенческий",Сэм Пекинпа,США,1965
Майор Гром: Игра,"супергероика, боевик, приключения, драма, детектив",Олег Трофим,Россия,2024
Майор Гром: Чумной Доктор,"супергероика, приключения, боевик, детектив",Олег Трофим,Россия,2021
Майор Вихрь (фильм),военная драма,Евгений Ташков,СССР,1967
Майор (фильм),"криминальная, драма, триллер",Юрий Быков,Россия,2013
Майор Гром (фильм),"супергероика, боевик, приключения, комедия, Саундтрек",Владимир Беседин,"Россия, Россия",2017
"Майна (фильм, 2013)","драма, ,, приключения, ,, исторический",Мишель Пулетт,Канада,2013
"Майкл Шейн, частный детектив","Детективный фильм, Комедия",Юджин Форд,США,1940
Майкл Клейтон,"юридический, триллер",Тони Гилрой,США,2007
Майкл Коллинз (фильм),"Исторический фильм, ,, драма, ,, триллер",Нил Джордан,"Великобритания, США, Ирландия",1996
Майкл Джексон: Призраки,"короткометражный, ,, музыкальный, фильм ужасов",Стэн Уинстон,США,1996
Майкл Джексон: Легенда продолжается,документальный фильм,Патрик Т. Келли,США,1988
Майкл Джексон: Жизнь поп-иконы,документальный фильм,Эндрю Эстель,США,2011
Майкл Джексон: Вот и всё,"документальный, ,, музыкальный",Кенни Ортега,США,2009
Майкл Джексон: В погоне за правдой,документальный фильм,Джордан Хилл,Великобритания,2019
Майкл Джексон: В поисках Неверленда,фильм-биография,"Дайан Хьюстон, [англ.]",США,2017
"Майкл (фильм, 1996)","романтическая комедия, ,, фэнтезийный фильм, и, драма","Нора Эфрон, [, 1, ], [, 2, ], […]",США,1996
"Майкл (фильм, 2025)",биографический фильм,Антуан Фукуа,США,2025
"Мадам Сан-Жен (фильм, 1900)",драма,Клемент Морис,Франция,1900
Мадам Сатана,"музыкальная, комедия",Сесил Блаунт Демилль,США,1930
Мадам Паутина (фильм),"супергероика, триллер, боевик, научная фантастика",Эс Джей Кларксон,США,2024
Мадам Кюри (фильм),"биографический фильм, ,, драма, [, 1, ], [, 2, ], и, экранизация литературного произведения, [вд]","Мервин Лерой, [, 1, ], [, 2, ]",США,1943
Мадам Клод (фильм),"комедия, драма",Жюст Жакен,Франция,1977
"Мадам Икс (фильм, 2021)","документальный фильм, и, концертный фильм","Рикардо Гомес, SKNX","США, США",2021
"Мадам Икс (фильм, 1929)",драма,Лайонел Барримор,США,1929
Мадам де…,драма,Макс Офюльс,"Франция, ,, Италия",1953
"Мадам Бовари (фильм, 1991)","экранизация, драма, мелодрама",Клод Шаброль,Франция,1991
"Мадам Бовари (фильм, 1933)",драма,Жан Ренуар,Франция,1933
"Мадам Баттерфляй (фильм, 1974)","фильм, -, опера, ,, музыкальный фильм, ,, драма, ,, мелодрама",Жан-Пьер Поннель,Германия,1974
Мадам Беспечность (фильм),"драма, ,, кинокомедия, ,, мелодрама, ,, военный фильм",Кристиан-Жак,"Франция, Испания, Италия",1961
"Мадам Баттерфляй (фильм-опера, 1995)","фильм, -, опера, ,, музыкальный фильм, ,, драма, ,, мелодрама",Фредерик Миттеран,"Франция, Германия, Великобритания, Япония",1995
"Мадам Баттерфляй (фильм-опера, 1956)","фильм, -, опера, ,, музыкальный фильм, ,, драма, ,, мелодрама","Марио Ланфранки, [итал.]",Италия,1956
Мад (фильм),драма,Джефф Николс,США,2012
"Мадам (фильм, 2017)",комедия,Аманда Штерс,Франция,2017
Магнус (фильм),драма,Кадри Кыусаар,Эстония,2007
Магнолия (фильм),драма,Пол Томас Андерсон,США,1999
"Магнолия (фильм, 1916)",драма,Николай Маликов,Российская империя,1916
Магнитные бури (фильм),драма,Вадим Абдрашитов,Россия,2003
"Магия, магия","драма, триллер",Себастьян Сильва,"США, Чили",2013
Магия шахматного бокса,"боевик, драма",Джозеф Го,Китайская Республика,1979
Магия чёрная и белая,"комедия, , детский фильм",Наум Бирман,СССР,1983
Магия четырёх стихий,"экранизация литературного произведения, [вд], ,, фэнтезийный фильм, и, семейный фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Майк Марзук, [вд]","Германия, Австрия","27 февраля, 2025, и, 27 февраля, 2025, [, 1, ]"
Магия превыше всего,"фэнтези, ,, драма",Екатерина Краснер,Россия,2018
Магия лунного света,романтическая комедия,Вуди Аллен,США,2014
Магия Лесси,"приключения, ,, драма, ,, семейный фильм",Дон Чэффи,США,1978
Магия зверя,"криминальный фильм, и, экранизация литературного произведения, [вд]",Доминик Молль,Франция,2019
"Магия (фильм, 1978)",триллер,Ричард Аттенборо,США,1978
Магические бойцы,"боевик, комедия, фэнтези",Юнь Вопхин,Гонконг,1982
"Магистраль (фильм, 1982)","производственная, драма, фильм-катастрофа",Виктор Трегубович,СССР,1982
Маги и странники,"драма, приключенческий фильм",Кхьенце Норбу,Бутан,2003
Магдалена (фильм),"драма, , мелодрама, экранизация",Константы Меглицкий,Польша,1929
"Магазинчик ужасов (фильм, 1986)","научно-фантастический фильм, ,, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, юмористическая научная фантастика, [вд], ,, музыкальный фильм, ,, комедия ужасов, ,, фильм ужасов, и, комедийный фильм",Фрэнк Оз,США,1986
"Магазинчик ужасов (фильм, 1960)",комедия ужасов,Роджер Корман,США,1960
Магазинчик за углом,романтическая комедия,Эрнст Любич,США,1940
Магазинные воришки всего мира,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Стивен Кижак, [вд]",США,2021
Магазинные воришки,драма,Хирокадзу Корээда,Япония,2018
Магазин единорогов,комедия,Бри Ларсон,США,2017
Магазин на площади,драма,"Ян Кадар, Эльмар Клос",Чехословакия,1965
Магазин «Империя»,трагикомедия,"Аллан Мойл, [англ.]",США,1995
Мавританец,"триллер, драма",Кевин Макдональд,"Великобритания, США",2021
Маг (фильм),"фильм ужасов, фэнтези, драма, мелодрама",Рекс Ингрэм,США,1926
Ма Рейни: Мать блюза,драма,Джордж С. Вольф,США,2020
Ма Ма,драма,Хулио Медем,Испания,2015
"Ма (фильм, 2019)",психологический фильм ужасов,Тейт Тейлор,США,2019
М3ГАН 2.0,"научно-фантастический, фильм ужасов",Джерард Джонстоун,США,2025
М3ГАН,"научно-фантастический, фильм ужасов",Джерард Джонстоун,США,2023
М. Баттерфляй,драма,Дэвид Кроненберг,США,1993
"М (фильм, 1931)",триллер,Фриц Ланг,Веймарская республика,1931
"М (фильм, 1951)",фильм нуар,Джозеф Лоузи,США,1951
"Лятиф (фильм, 1930)",драма,Микаил Микаилов,"СССР, ;, ЗСФСР, ;, Азербайджан",1930
Ляна,комедия,Борис Барнет,СССР,1955
"Лян Шаньбо и Чжу Интай (фильм, 1963)","музыкальная драма, ,, опера хуанмэй, [англ.]",Ли Ханьсян,Гонконг,1963
"Лян Шаньбо и Чжу Интай (фильм, 1954)",шаосинская опера,Сан Ху,КНР,1953
Лялька-Руслан и его друг Санька,детский фильм,Евгений Татарский,СССР,1980
Лягушачий город 2,"Фантастика, Боевик",Дональд Джексон,США,1993
"Ля Тур, берегись!",Приключенческий,Жорж Лампен,"Франция, Италия, Югославия",1958
"Лючия ди Ламмермур (фильм-опера, 1980)","кинофильм, -, опера, экранизация, музыкальный фильм, драма",Олег Бийма,СССР,
"Лючия ди Ламмермур (фильм-опера, 1971)","фильм, -, опера, музыкальный фильм, драма, мелодрама","Марио Ланфранки, Сандро Больчи",Италия,1971
Лютый (фильм),"драма, экранизация,, фильм о животных",Толомуш Океев,СССР,1973
Лютер: Павшее солнце,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, полицейский фильм, [вд], ,, драма, и, фильм-триллер",Джэми Пэйн,США,2023
Лютер (фильм),"биография, драма",Эрик Тилл,"Германия, Великобритания, США",2003
Люсия и секс,"драма, /, мелодрама",Хулио Медем,"Испания, Франция",2001
"Люсиль Лав, девушка-загадка","шпионский фильм, и, немое кино","Фрэнсис Форд, [, 1, ]",США,1914
Люси в небесах,драма,Ной Хоули,США,2019
Люси (фильм),"научная фантастика, ,, экшн, ,, драма, ,, криминал",Люк Бессон,Франция,2014
Люмьер и компания,документальный,"Лассе Халльстрём, ,, Исмаил Мерчант, и др.","Дания, Швеция, Франция, Испания",1995
Люс (фильм),драма,Джулиус Она,США,2019
Люми,"ужасы, ,, чёрная комедия",Владимир Брагин,СССР,1991
"Люксембург, Люксембург",комедия,"Антонио Лукич, ?!",Украина,2022
"Людоед (фильм, 1999)","фильм ужасов, драма, триллер",Антония Бёрд,"Великобритания, США, Чехия",1999
Людоеды (фильм),"комедийная драма, и, драма","Леа Фенер, [, 1, ], [, 2, ]",Франция,2016
"Людоед (фильм, 1991)",драма,Геннадий Земель,СССР,1991
"Люди, творящие завтра","пропагандистский, фильм-драма","Акира Куросава, ,, Кадзиро Ямамото, ,, Хидэо Сэкигава",Япония,1946
"Люди, сделавшие землю круглой",документальный,Кристина Козлова,Россия,
"Люди, достойные уважения",драма,Уильям Райли,США,1990
"Люди-кошки (фильм, 1982)",фантастика,Пол Шредер,США,1982
"Люди-кошки (фильм, 1942)","Фантастика, драма",Жак Турнёр,США,1942
Люди под лестницей,"фильм ужасов, ,, комедия","Уэс Крэйвен, [, 2, ], [, 3, ], […]",США,1991
Люди против,"военная, драма",Франческо Рози,"Италия, Югославия",1970
Люди остаются людьми,,Дмитрий Вурос,,1965
Люди не всё знают,"драма, военный, трилогия",Николай Макаренко,СССР,1963
Люди на мосту,драма,Александр Зархи,СССР,1959
Люди на болоте (фильм),драма,Виктор Туров,СССР,1981
Люди моей долины,драма,Сигизмунд Навроцкий,СССР,1960
Люди луннаго свѣта (фильм),сюрреализм,Дмитрий Фролов,Россия,2019
Люди как мы,драма,Алекс Куртцман,США,2012
Люди Икс: Тёмный Феникс,"супергероика, боевик, научная фантастика",Саймон Кинберг,США,2019
Люди искусства,"комедия, мелодрама",Кинг Видор,США,1928
Люди Икс: Последняя битва,"супергероика, боевик, научная фантастика",Бретт Ратнер,"США, [, 1, ], [, 5, ], Великобритания, [, 1, ], [, 5, ]",2006
Люди Икс: Начало. Росомаха,"супергероика, боевик, научная фантастика",Гэвин Худ,"США, Великобритания","1 мая, 2009, [, 2, ], ,, 1 мая, 2009, [, 3, ], ,, 29 апреля, 2009, [, 4, ], ,, 30 апреля, 2009, [, 5, ], и, 15 сентября, 2009"
Люди Икс: Первый класс,"супергероика, боевик, научная фантастика, альтернативная история",Мэттью Вон,"США, [, 5, ], [, 6, ], [, 7, ], Великобритания, [, 6, ], [, 7, ]",2011
Люди Икс: Дни минувшего будущего,"супергероика, боевик, научная фантастика",Брайан Сингер,"США, [, 6, ], Великобритания, [, 6, ]",2014
Люди Икс: Апокалипсис,"супергероика, боевик, научная фантастика",Брайан Сингер,"США, [, 3, ], [, 4, ]",2016
Люди Икс (фильм),"супергероика, боевик, научная фантастика, боевик, научная фантастика",Брайан Сингер,"США, США",2000
Люди Икс 2,"супергероика, боевик, научная фантастика",Брайан Сингер,США,2003
Люди Икс (кинофраншиза),супергеройский фильм,"Брайан Сингер, Бретт Рэтнер, Гэвин Худ, Мэттью Вон, Джеймс Мэнголд, Тим Миллер, Джош Бун, Дэвид Литч, Саймон Кинберг",США,"2000, –, 2020, [, b, ]"
Люди из фургонов,драма,Мартин Фрич,Чехословакия,1966
Люди и манекены,"комедия, сатира, телеспектакль","А. Райкин, ,, В. Храмов",СССР,1974—1975
Люди и звери,Кинороман,Сергей Герасимов,"СССР, ГДР",1962
Люди и боги,драма,Ксавье Бовуа,Франция,2010
Люди знойных страстей,Драма,"Вячеслав Висковский, ,, Арнольд Шифман",Россия,1917
Люди дождя,драма,Фрэнсис Форд Коппола,США,1969
Люди за солнцем,"исторический фильм, фильм ужасов",Моу Дуньфэй,"Гонконг, Китай",1988
Люди голубых рек,"киноповесть, мелодрама",Андрей Апсолон,СССР,1959
Люди гибнут за металл (фильм),драма,Александр Волков,Российская империя,1919
Люди в чёрном: Интернэшнл,"научно-фантастический, комедийный боевик",Ф. Гэри Грей,США,2019
Люди в чёрном (фильм),"научно-фантастический, комедийный боевик",Барри Зонненфельд,США,1997
Люди в чёрном 3,"научно-фантастический, комедийный боевик",Барри Зонненфельд,США,2012
Люди в чёрном 2,"научно-фантастический, комедийный боевик",Барри Зонненфельд,США,2002
Люди в солдатских шинелях,"драма, военный фильм",Юри Мюйр,СССР,1968
Люди в океане,драма,Павел Чухрай,СССР,1980
Люди в лодках (фильм),драма,Энн Хёй,Гонконг,1982
"Люди без крыльев (фильм, 1946)",драма,Франтишек Чап,Чехословакия,1946
Люди 1941 года,документальный фильм,Марлен Хуциев,Россия,2001
Людвиг II: Блеск и падение короля,исторический фильм-биография,Хельмут Койтнер,ФРГ,1955
Людвиг ван Бетховен (фильм),"биографический фильм, драма","Ники Штайн, [нем.]","Германия, Чехия, [, 1, ]",2020
Людвиг Баварский (фильм),"драма, ,, исторический, ,, биографический","Мари Ноэль, ,, Петер Зер",Германия,2012
Любя Молли,"драма, мелодрама, экранизация",Сидни Люмет,США,1974
Людвиг (фильм),"драма, исторический",Лукино Висконти,"Италия, Франция, ФРГ",1972
Любя и воюя,драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Пол Аарон, [вд]",США,
"Любушка (фильм, 1961)",драма,Владимир Каплуновский,СССР,1961
Любопытство убивает,триллер,Колин Бакси,США,1990
